,Player,Link,StartYear,EndYear,Position,Tenure,Height,Weight,Birthday,All_Star_apps,All_NBA_apps,All_Def_apps,HOF,Games,PPG,TRPG,APG,FG_pct,3_pt_pct,FT_pct,eFG_pct,PER,WS
418,Demetrius Calip,/players/c/calipde01.html,1992,1992,G,0,185cm,74kg,1969-11-18,0,0,0,0,7,1.6,0.7,1.7,22.2,20.0,66.7,25.0,1.8,-0.2
419,Rick Calloway,/players/c/callori01.html,1991,1991,F,0,198cm,81kg,1966-12-12,0,0,0,0,64,3.2,1.2,1.0,39.1,0.0,69.6,39.1,6.6,-0.3
420,Dexter Cambridge,/players/c/cambrde01.html,1993,1993,F,0,201cm,101kg,1970-01-29,0,0,0,0,53,7.0,3.2,1.1,48.4,0.0,68.7,48.4,12.1,0.4
421,Marcus Camby,/players/c/cambyma01.html,1997,2013,CF,16,211cm,99kg,1974-03-22,0,0,4,0,973,9.5,9.8,1.9,46.6,20.5,67.0,46.8,17.8,81.6
422,Elden Campbell,/players/c/campbel01.html,1991,2005,C,14,211cm,97kg,1968-07-23,0,0,0,0,1044,10.3,5.9,1.1,46.0,5.4,69.9,46.0,15.9,62.8
423,Tony Campbell,/players/c/campbto01.html,1985,1995,FG,10,201cm,97kg,1962-05-07,0,0,0,0,690,11.6,3.1,1.5,45.6,25.4,79.0,46.0,14.5,20.7
424,Isaiah Canaan,/players/c/canaais01.html,2014,2019,G,5,183cm,91kg,1991-05-21,0,0,0,0,235,8.1,1.9,1.9,37.1,35.1,83.6,48.1,10.7,4.3
425,Vlatko Čančar,/players/c/cancavl01.html,2020,2020,F,0,203cm,107kg,1997-04-10,0,0,0,0,14,1.2,0.7,0.2,40.0,16.7,100.0,43.3,11.4,0.1
426,Clint Capela,/players/c/capelca01.html,2015,2020,C,5,208cm,108kg,1994-05-18,0,0,0,0,334,12.2,9.7,1.0,63.4,0.0,52.6,63.4,22.0,36.4
427,Derrick Caracter,/players/c/caracde01.html,2011,2011,F,0,206cm,124kg,1988-05-04,0,0,0,0,41,2.0,1.0,0.2,48.5,-,73.9,48.5,10.0,0.3
428,Brian Cardinal,/players/c/cardibr01.html,2001,2012,F,11,203cm,111kg,1977-05-02,0,0,0,0,456,4.6,2.3,1.0,40.8,37.2,86.1,48.2,12.7,15.4
429,Geno Carlisle,/players/c/carlige01.html,2005,2005,G,0,190cm,81kg,1976-08-13,0,0,0,0,6,1.3,0.2,0.2,66.7,-,66.7,66.7,18.1,0.1
430,Rick Carlisle,/players/c/carliri01.html,1985,1990,G,5,196cm,95kg,1959-10-27,0,0,0,0,188,2.2,0.8,1.1,42.2,22.9,77.5,43.5,7.0,0.5
431,Rodney Carney,/players/c/carnero01.html,2007,2011,F,4,201cm,92kg,1984-04-15,0,0,0,0,299,5.9,2.0,0.4,42.2,33.8,70.4,48.5,11.9,6.2
432,Antoine Carr,/players/c/carran01.html,1985,2000,FC,15,206cm,102kg,1961-07-23,0,0,0,0,987,9.3,3.4,1.1,50.3,13.0,78.0,50.3,14.2,42.1
433,Chris Carr,/players/c/carrch01.html,1996,2001,G,5,196cm,93kg,1974-03-12,0,0,0,0,297,6.7,2.2,1.0,41.6,33.8,80.7,46.2,11.9,3.9
434,Cory Carr,/players/c/carrco01.html,1999,1999,G,0,190cm,95kg,1975-12-05,0,0,0,0,42,4.1,1.2,1.6,32.9,16.7,75.0,34.0,5.1,-1.2
435,DeMarre Carroll,/players/c/carrode01.html,2010,2020,F,10,198cm,97kg,1986-07-27,0,0,0,0,578,8.9,4.2,1.3,43.0,35.8,74.1,50.8,13.3,29.5
436,Joe Barry Carroll,/players/c/carrojo01.html,1981,1991,CF,10,213cm,102kg,1958-07-24,1,0,0,0,705,17.7,7.7,1.8,47.4,0.0,74.7,47.4,16.4,35.6
437,Matt Carroll,/players/c/carroma01.html,2004,2013,G,9,198cm,96kg,1980-08-28,0,0,0,0,459,6.6,1.9,0.7,41.3,38.4,84.1,48.2,11.6,10.7
438,Jimmy Carruth,/players/c/carruji01.html,1997,1997,CF,0,208cm,120kg,1969-11-04,0,0,0,0,4,1.3,1.0,0.0,66.7,-,100.0,66.7,9.7,0.0
439,Anthony Carter,/players/c/cartean01.html,2000,2012,G,12,185cm,86kg,1975-06-16,0,0,0,0,623,4.8,2.1,3.8,40.4,25.0,70.6,42.3,10.8,10.4
440,Butch Carter,/players/c/cartebu01.html,1981,1986,G,5,196cm,81kg,1958-06-11,0,0,0,0,361,8.7,1.5,1.9,47.5,30.7,78.8,48.5,12.7,8.5
441,Howard Carter,/players/c/carteho01.html,1984,1985,G,1,196cm,97kg,1961-10-26,0,0,0,0,66,5.3,1.3,1.1,44.0,22.7,77.4,44.7,10.3,0.0
442,Jevon Carter,/players/c/carteje01.html,2019,2020,G,1,185cm,90kg,1995-09-14,0,0,0,0,97,4.7,1.9,1.6,36.7,38.7,83.1,47.9,10.0,1.8
443,Maurice Carter,/players/c/cartema01.html,2004,2004,G,0,196cm,95kg,1976-10-12,0,0,0,0,10,4.2,1.1,0.4,31.4,36.4,80.0,37.1,5.8,0.0
444,Reggie Carter,/players/c/cartere01.html,1981,1982,G,1,190cm,79kg,1957-10-10,0,0,0,0,135,3.5,1.2,1.5,38.8,0.0,77.2,38.8,9.1,0.4
445,Ron Carter,/players/c/cartero01.html,1979,1980,G,1,196cm,86kg,1956-08-31,0,0,0,0,59,3.0,1.1,0.6,42.9,-,62.3,42.9,8.0,-0.2
446,Vince Carter,/players/c/cartevi01.html,1999,2020,GF,21,198cm,99kg,1977-01-26,8,2,0,0,1541,16.7,4.3,3.1,43.5,37.1,79.8,48.9,18.6,125.3
447,Wendell Carter,/players/c/cartewe01.html,2019,2020,C,1,206cm,122kg,1999-04-16,0,0,0,0,87,10.8,8.2,1.5,50.8,19.7,76.1,51.7,15.4,5.2
448,Michael Carter-Williams,/players/c/cartemi01.html,2014,2020,G,6,196cm,86kg,1991-10-10,0,0,0,0,360,10.4,4.4,4.4,40.2,25.6,71.3,42.7,13.9,7.1
449,Bill Cartwright,/players/c/cartwbi01.html,1980,1995,C,15,216cm,111kg,1957-07-30,1,0,0,0,963,13.2,6.3,1.4,52.5,0.0,77.1,52.5,15.2,72.8
450,Alex Caruso,/players/c/carusal01.html,2018,2020,G,2,196cm,84kg,1994-02-28,0,0,0,0,126,5.7,2.0,2.2,42.6,36.2,75.0,49.2,11.0,3.8
451,Sam Cassell,/players/c/cassesa01.html,1994,2008,G,14,190cm,83kg,1969-11-18,1,0,0,0,993,15.7,3.2,6.0,45.4,33.1,86.1,48.0,19.5,87.5
452,Omri Casspi,/players/c/casspom01.html,2010,2019,F,9,206cm,102kg,1988-06-22,0,0,0,0,588,7.9,4.0,1.1,45.4,36.8,67.8,52.0,13.0,19.6
453,Terry Catledge,/players/c/catlete01.html,1986,1993,F,7,203cm,99kg,1963-08-22,0,0,0,0,515,12.7,6.4,0.9,48.5,9.4,65.4,48.5,14.1,20.9
454,Kelvin Cato,/players/c/catoke01.html,1998,2007,C,9,211cm,115kg,1974-08-26,0,0,0,0,541,5.5,5.3,0.5,50.7,7.7,64.4,50.7,14.4,28.6
455,Bobby Cattage,/players/c/cattabo01.html,1982,1986,F,4,206cm,113kg,1958-08-17,0,0,0,0,78,3.1,1.4,0.1,40.4,14.3,76.5,40.6,10.2,0.3
456,Willie Cauley-Stein,/players/c/caulewi01.html,2016,2020,FC,4,213cm,108kg,1993-08-18,0,0,0,0,349,9.6,6.3,1.6,53.9,21.1,61.1,54.0,17.0,20.3
457,Troy Caupain,/players/c/caupatr01.html,2019,2019,G,0,193cm,95kg,1995-11-29,0,0,0,0,4,2.5,0.8,1.0,50.0,66.7,-,62.5,30.7,0.1
458,Duane Causwell,/players/c/causwdu01.html,1991,2001,C,10,213cm,108kg,1968-05-31,0,0,0,0,541,4.9,4.2,0.4,50.7,28.6,61.8,50.8,11.7,15.8
459,Tyler Cavanaugh,/players/c/cavanty01.html,2018,2019,F,1,206cm,107kg,1994-02-09,0,0,0,0,50,3.8,2.7,0.6,43.2,35.1,82.6,53.4,12.4,1.2
460,Ron Cavenall,/players/c/cavenro01.html,1985,1989,C,4,216cm,104kg,1959-04-30,0,0,0,0,58,1.4,2.9,0.3,33.7,-,54.5,33.7,4.2,-0.2
461,Cedric Ceballos,/players/c/cebalce01.html,1991,2001,F,10,198cm,86kg,1969-08-02,1,0,0,0,609,14.3,5.3,1.2,50.0,30.9,75.3,51.8,19.3,40.4
462,John Celestand,/players/c/celesjo01.html,2000,2000,G,0,193cm,80kg,1977-03-06,0,0,0,0,16,2.3,0.7,1.3,33.3,22.2,83.3,35.6,2.7,-0.1
463,Lionel Chalmers,/players/c/chalmli01.html,2005,2005,G,0,183cm,81kg,1980-11-10,0,0,0,0,36,3.1,0.9,1.4,33.6,24.5,62.5,38.4,6.5,-0.2
464,Mario Chalmers,/players/c/chalmma01.html,2009,2018,G,9,188cm,86kg,1986-05-19,0,0,0,0,646,8.9,2.5,3.7,41.7,35.1,79.3,49.8,12.7,32.3
465,Tom Chambers,/players/c/chambto01.html,1982,1998,FC,16,208cm,99kg,1959-06-21,4,2,0,0,1107,18.1,6.1,2.1,46.8,30.7,80.7,47.6,16.5,79.0
466,Mike Champion,/players/c/champmi01.html,1989,1989,F,0,208cm,104kg,1964-04-05,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,-,0.0,-43.7,-0.1
467,Tyson Chandler,/players/c/chandty01.html,2002,2020,C,18,213cm,106kg,1982-10-02,1,0,3,0,1160,8.2,9.0,0.8,59.7,0.0,64.4,59.7,16.1,102.1
468,Wilson Chandler,/players/c/chandwi01.html,2008,2020,F,12,203cm,106kg,1987-05-10,0,0,0,0,676,12.5,5.3,1.8,44.3,34.1,77.0,50.2,12.8,29.0
469,Rex Chapman,/players/c/chapmre01.html,1989,2000,G,11,193cm,83kg,1967-10-05,0,0,0,0,666,14.6,2.5,2.7,43.0,35.0,80.0,47.7,13.9,24.7
470,Lorenzo Charles,/players/c/charllo01.html,1986,1986,F,0,201cm,102kg,1963-11-25,0,0,0,0,36,3.4,1.1,0.2,55.7,-,66.7,55.7,11.5,0.5
471,Joe Chealey,/players/c/chealjo01.html,2019,2020,G,1,190cm,86kg,1995-11-01,0,0,0,0,5,0.8,0.0,0.4,10.0,0.0,100.0,10.0,-1.9,-0.1
472,Calbert Cheaney,/players/c/cheanca01.html,1994,2006,GF,12,201cm,94kg,1971-07-17,0,0,0,0,825,9.5,3.2,1.7,46.6,29.8,69.1,48.0,11.0,23.1
473,Zylan Cheatham,/players/c/cheatzy01.html,2020,2020,F,0,196cm,99kg,1995-11-17,0,0,0,0,4,3.0,2.3,0.8,66.7,0.0,-,66.7,6.7,0.0
474,Maurice Cheeks,/players/c/cheekma01.html,1979,1993,G,14,185cm,81kg,1956-09-08,4,0,5,Hall of Fame,1101,11.1,2.8,6.7,52.3,25.5,79.3,52.6,16.5,103.5
475,Will Cherry,/players/c/cherrwi01.html,2015,2015,G,0,183cm,83kg,1991-02-08,0,0,0,0,8,1.9,0.6,1.0,26.3,22.2,50.0,31.6,5.8,0.0
476,Derrick Chievous,/players/c/chievde01.html,1989,1991,F,2,201cm,88kg,1967-07-03,0,0,0,0,154,7.1,2.4,0.7,44.3,24.2,75.5,44.8,11.8,2.7
477,Pete Chilcutt,/players/c/chilcpe01.html,1992,2000,FC,8,208cm,104kg,1968-09-14,0,0,0,0,584,4.3,3.3,0.8,44.1,38.1,69.6,48.1,11.9,10.6
478,Josh Childress,/players/c/childjo01.html,2005,2014,GF,9,203cm,95kg,1983-06-20,0,0,0,0,391,9.1,4.7,1.6,52.2,32.9,77.9,54.2,15.6,25.7
479,Randolph Childress,/players/c/childra01.html,1996,1997,G,1,188cm,85kg,1972-09-21,0,0,0,0,51,2.4,0.5,1.0,32.8,27.3,80.0,40.3,5.9,-0.2
480,Chris Childs,/players/c/childch01.html,1995,2003,G,8,190cm,88kg,1967-11-20,0,0,0,0,541,6.9,2.4,4.9,40.3,34.4,81.6,46.1,11.2,22.9
481,Chris Chiozza,/players/c/chiozch01.html,2019,2020,G,1,180cm,79kg,1995-11-21,0,0,0,0,35,4.2,1.6,2.5,38.5,37.7,100.0,48.3,11.6,0.5
482,Marquese Chriss,/players/c/chrisma01.html,2017,2020,F,3,206cm,108kg,1997-07-02,0,0,0,0,256,8.0,4.9,1.1,45.6,29.0,66.9,50.1,13.4,5.7
483,Doug Christie,/players/c/chrisdo01.html,1993,2007,GF,14,198cm,90kg,1970-05-09,0,0,4,0,827,11.2,4.1,3.6,42.6,35.4,82.1,47.9,14.6,55.7
484,Dionte Christmas,/players/c/chrisdi01.html,2014,2014,G,0,196cm,92kg,1986-09-15,0,0,0,0,31,2.3,1.2,0.3,35.5,29.0,75.0,42.7,11.1,0.3
485,Rakeem Christmas,/players/c/chrisra01.html,2016,2017,F,1,206cm,113kg,1991-12-01,0,0,0,0,30,2.1,1.9,0.1,46.7,-,72.4,46.7,11.0,0.5
486,Semaj Christon,/players/c/chrisse01.html,2017,2017,G,0,190cm,86kg,1992-11-01,0,0,0,0,64,2.9,1.4,2.0,34.5,19.0,54.8,37.2,5.7,0.1
487,Patrick Christopher,/players/c/chrispa01.html,2015,2015,GF,0,196cm,94kg,1988-06-03,0,0,0,0,4,1.5,1.5,0.0,25.0,0.0,-,25.0,-2.6,-0.1
488,Robert Churchwell,/players/c/churcro01.html,1996,1996,GF,0,198cm,88kg,1972-02-20,0,0,0,0,4,1.5,0.8,0.3,37.5,-,-,37.5,1.2,-0.1
489,Carlos Clark,/players/c/clarkca01.html,1984,1985,G,1,193cm,95kg,1960-08-10,0,0,0,0,93,2.4,0.9,0.7,40.7,0.0,80.3,40.7,9.5,0.6
490,Earl Clark,/players/c/clarkea01.html,2010,2015,F,5,208cm,102kg,1988-01-17,0,0,0,0,261,4.4,3.0,0.5,40.3,32.8,66.4,43.9,10.2,2.9
491,Gary Clark,/players/c/clarkga01.html,2019,2020,F,1,198cm,102kg,1994-11-16,0,0,0,0,93,3.3,2.4,0.4,36.6,32.1,94.1,50.7,9.9,2.1
492,Ian Clark,/players/c/clarkia01.html,2014,2019,G,5,190cm,79kg,1991-03-07,0,0,0,0,330,5.6,1.3,1.2,43.9,34.0,80.4,51.3,10.3,4.4
493,Keon Clark,/players/c/clarkke01.html,1999,2004,FC,5,211cm,99kg,1975-04-16,0,0,0,0,353,8.2,5.9,0.9,50.0,5.3,64.5,50.0,15.4,18.2
494,Brandon Clarke,/players/c/clarkbr01.html,2020,2020,F,0,203cm,97kg,1996-09-19,0,0,0,0,58,12.1,5.9,1.4,61.8,35.9,75.9,64.2,20.9,5.0
495,Coty Clarke,/players/c/clarkco01.html,2016,2016,F,0,201cm,105kg,1992-07-04,0,0,0,0,3,2.0,0.3,0.0,50.0,100.0,-,75.0,23.9,0.0
496,Jordan Clarkson,/players/c/clarkjo01.html,2015,2020,G,5,193cm,87kg,1992-06-07,0,0,0,0,453,14.8,3.1,2.6,44.6,34.2,81.8,50.5,15.6,13.9
497,Gian Clavell,/players/c/clavegi01.html,2018,2018,G,0,193cm,83kg,1993-11-26,0,0,0,0,7,2.9,1.0,0.4,33.3,40.0,100.0,50.0,7.4,0.1
498,Victor Claver,/players/c/clavevi01.html,2013,2015,F,2,206cm,101kg,1988-08-30,0,0,0,0,80,3.2,2.2,0.7,39.8,29.3,58.5,46.6,7.5,0.2
499,Charles Claxton,/players/c/claxtch01.html,1996,1996,C,0,213cm,120kg,1970-12-13,0,0,0,0,3,0.7,0.7,0.0,50.0,-,0.0,50.0,0.2,0.0
500,Nicolas Claxton,/players/c/claxtni01.html,2020,2020,F,0,211cm,97kg,1999-04-17,0,0,0,0,15,4.4,2.9,1.1,56.3,14.3,52.4,57.3,14.8,0.5
501,Speedy Claxton,/players/c/claxtsp01.html,2002,2009,G,7,180cm,75kg,1978-05-08,0,0,0,0,334,9.3,2.5,4.3,40.9,19.3,76.2,41.7,14.5,14.2
502,Mateen Cleaves,/players/c/cleavma01.html,2001,2006,G,5,188cm,92kg,1977-09-07,0,0,0,0,167,3.6,1.0,1.9,38.9,26.7,72.8,39.9,8.5,-0.8
503,Chris Clemons,/players/c/clemoch01.html,2020,2020,G,0,175cm,81kg,1997-07-23,0,0,0,0,33,4.9,0.9,0.8,40.1,34.6,90.9,53.2,13.1,0.4
504,Antonius Cleveland,/players/c/clevean01.html,2018,2020,G,2,196cm,88kg,1994-02-02,0,0,0,0,28,1.2,0.8,0.1,34.3,42.9,63.6,38.6,4.0,-0.1
505,Keith Closs,/players/c/closske01.html,1998,2000,C,2,221cm,96kg,1976-04-03,0,0,0,0,130,3.9,2.9,0.3,47.1,0.0,60.6,47.1,14.2,1.9
506,Amir Coffey,/players/c/coffeam01.html,2020,2020,G,0,201cm,95kg,1997-06-17,0,0,0,0,18,3.2,0.9,0.8,42.6,31.6,54.5,48.1,8.5,0.1
507,Richard Coffey,/players/c/cofferi01.html,1991,1991,F,0,198cm,96kg,1965-09-02,0,0,0,0,52,1.3,1.5,0.1,37.3,0.0,54.5,37.3,7.9,0.2
508,Fred Cofield,/players/c/cofiefr01.html,1986,1987,G,1,190cm,86kg,1962-01-04,0,0,0,0,50,3.4,1.0,1.7,39.5,18.8,60.0,40.3,7.7,-0.5
509,John Coker,/players/c/cokerjo01.html,1996,2001,C,5,213cm,114kg,1971-10-28,0,0,0,0,25,1.6,1.2,0.1,40.9,-,83.3,40.9,8.9,0.1
510,Norris Cole,/players/c/coleno01.html,2012,2017,G,5,188cm,79kg,1988-10-13,0,0,0,0,360,7.0,2.0,2.7,40.7,32.4,74.3,44.9,9.2,3.0
511,Ben Coleman,/players/c/colembe01.html,1987,1994,F,7,206cm,106kg,1961-11-14,0,0,0,0,227,6.6,4.1,0.6,51.6,0.0,75.9,51.6,12.3,5.0
512,Derrick Coleman,/players/c/colemde01.html,1991,2005,F,14,208cm,104kg,1967-06-21,1,2,0,0,781,16.5,9.3,2.5,44.7,29.5,76.9,46.2,18.0,64.3
513,Norris Coleman,/players/c/colemno01.html,1988,1988,F,0,203cm,95kg,1961-09-27,0,0,0,0,29,5.3,2.8,0.4,34.6,50.0,55.6,34.8,6.6,-0.4
514,Bimbo Coles,/players/c/colesbi01.html,1991,2004,G,13,185cm,81kg,1968-04-22,0,0,0,0,852,7.8,2.1,3.9,42.5,26.7,81.1,44.7,12.1,27.4
515,Jason Collier,/players/c/collija02.html,2001,2005,C,4,213cm,117kg,1977-09-08,0,0,0,0,151,5.6,2.9,0.3,45.5,35.0,73.8,46.0,11.7,1.9
516,Art Collins,/players/c/colliar01.html,1981,1981,G,0,193cm,83kg,1954-04-14,0,0,0,0,29,3.2,1.4,0.9,35.4,0.0,66.7,35.4,4.3,-0.4
517,Don Collins,/players/c/collido02.html,1981,1987,FG,6,198cm,86kg,1958-11-28,0,0,0,0,303,9.8,2.8,1.8,48.5,6.9,74.9,48.5,14.5,10.5
518,James Collins,/players/c/collija01.html,1998,1998,G,0,193cm,88kg,1973-11-05,0,0,0,0,23,2.6,0.6,0.1,38.2,45.0,57.1,46.4,15.3,0.0
519,Jarron Collins,/players/c/collija03.html,2002,2011,FC,9,211cm,115kg,1978-12-02,0,0,0,0,542,3.9,2.9,0.8,45.5,0.0,69.9,45.5,9.4,15.7
520,Jason Collins,/players/c/collija04.html,2002,2014,C,12,213cm,115kg,1978-12-02,0,0,0,0,735,3.6,3.7,0.9,41.1,20.6,64.7,41.2,7.0,20.1
521,John Collins,/players/c/collijo01.html,2018,2020,F,2,206cm,106kg,1997-09-23,0,0,0,0,176,16.2,8.8,1.6,57.1,36.9,75.7,60.4,21.0,16.4
522,Mardy Collins,/players/c/collima01.html,2007,2010,G,3,198cm,99kg,1984-08-04,0,0,0,0,189,3.9,1.8,1.7,38.0,29.9,59.9,40.5,7.9,-1.6
523,Sherron Collins,/players/c/collish01.html,2011,2011,G,0,180cm,92kg,1987-03-18,0,0,0,0,20,0.9,0.3,0.4,28.0,20.0,100.0,32.0,3.6,-0.2
524,Zach Collins,/players/c/colliza01.html,2018,2020,CF,2,211cm,113kg,1997-11-19,0,0,0,0,154,5.7,4.0,0.9,44.4,32.4,72.2,49.8,10.8,3.9
525,Kyle Collinsworth,/players/c/colliky01.html,2018,2018,GF,0,198cm,95kg,1991-10-03,0,0,0,0,32,3.2,3.3,1.8,38.4,23.5,52.5,40.4,10.0,0.5
526,Darren Collison,/players/c/collida01.html,2010,2019,G,9,183cm,79kg,1987-08-23,0,0,0,0,708,12.5,2.7,5.0,47.1,39.4,85.3,51.7,16.2,49.9
527,Nick Collison,/players/c/collini01.html,2005,2018,F,13,208cm,115kg,1980-10-26,0,0,0,0,910,5.9,5.2,1.0,53.4,20.8,72.3,53.6,13.2,44.5
528,Bonzie Colson,/players/c/colsobo01.html,2019,2019,F,0,198cm,101kg,1996-01-12,0,0,0,0,8,4.9,3.8,0.4,33.3,23.8,88.9,39.7,12.9,0.2
529,Sean Colson,/players/c/colsose01.html,2001,2001,G,0,183cm,79kg,1975-07-01,0,0,0,0,13,1.2,0.5,0.8,25.0,20.0,50.0,27.1,6.8,-0.1
530,Steve Colter,/players/c/coltest01.html,1985,1995,G,10,190cm,74kg,1962-07-24,0,0,0,0,526,6.3,2.0,2.8,44.8,28.9,77.8,46.1,12.9,17.3
531,Leroy Combs,/players/c/combsle01.html,1984,1984,F,0,203cm,95kg,1961-01-01,0,0,0,0,48,4.5,1.2,0.8,49.7,0.0,61.5,49.7,13.5,0.4
532,Dallas Comegys,/players/c/comegda01.html,1988,1989,F,1,206cm,92kg,1964-08-17,0,0,0,0,142,6.0,3.2,0.7,45.7,0.0,68.2,45.7,10.7,1.1
533,Mike Conley,/players/c/conlemi01.html,2008,2020,G,12,185cm,79kg,1987-10-11,0,0,0,0,835,14.9,3.0,5.6,43.9,37.5,81.9,49.8,17.5,73.9
534,Marty Conlon,/players/c/conloma01.html,1992,2000,FC,8,208cm,101kg,1968-01-19,0,0,0,0,379,6.5,3.5,1.0,49.8,20.0,73.5,50.2,13.2,8.9
535,Pat Connaughton,/players/c/connapa01.html,2016,2020,G,4,196cm,94kg,1993-01-06,0,0,0,0,283,4.8,2.8,1.3,44.3,34.4,79.0,53.7,11.2,10.1
536,Lester Conner,/players/c/connele01.html,1983,1995,G,12,193cm,81kg,1959-09-17,0,0,0,0,687,6.3,2.7,3.9,45.3,20.2,75.3,45.6,14.1,28.6
537,Will Conroy,/players/c/conrowi01.html,2007,2013,G,6,188cm,88kg,1982-12-08,0,0,0,0,16,0.4,0.7,1.0,13.6,0.0,12.5,13.6,-3.1,-0.4
538,Anthony Cook,/players/c/cookan01.html,1991,1996,FC,5,206cm,92kg,1967-03-19,0,0,0,0,116,3.6,3.7,0.3,43.9,0.0,52.4,43.9,11.0,1.0
539,Brian Cook,/players/c/cookbr01.html,2004,2012,F,8,206cm,106kg,1980-12-04,0,0,0,0,421,5.5,2.6,0.6,43.9,38.2,78.3,50.2,13.1,10.2
540,Daequan Cook,/players/c/cookda02.html,2008,2013,G,5,196cm,92kg,1987-04-28,0,0,0,0,328,6.4,2.1,0.7,36.9,35.9,81.3,47.6,9.1,4.9
541,Darwin Cook,/players/c/cookda01.html,1981,1989,G,8,190cm,83kg,1958-08-06,0,0,0,0,612,9.5,2.1,3.7,45.3,19.6,76.4,45.8,13.8,22.9
542,Jeff Cook,/players/c/cookje01.html,1980,1988,FC,8,208cm,97kg,1956-10-21,0,0,0,0,518,5.3,4.5,1.4,46.2,5.6,71.6,46.2,10.9,17.7
543,Omar Cook,/players/c/cookom01.html,2004,2005,G,1,185cm,86kg,1982-01-28,0,0,0,0,22,1.7,0.6,2.1,33.3,0.0,50.0,33.3,9.0,-0.1
544,Quinn Cook,/players/c/cookqu01.html,2017,2020,G,3,185cm,81kg,1993-03-23,0,0,0,0,165,6.8,1.8,1.7,46.3,40.7,78.6,55.0,12.3,3.9
545,Tyler Cook,/players/c/cookty01.html,2020,2020,F,0,203cm,115kg,1997-09-23,0,0,0,0,13,1.8,1.1,0.1,66.7,-,87.5,66.7,19.4,0.2
546,Charles Cooke,/players/c/cookech01.html,2018,2018,G,0,196cm,88kg,1994-07-01,0,0,0,0,13,0.5,0.2,0.1,14.3,12.5,50.0,17.9,-5.1,-0.2
547,David Cooke,/players/c/cookeda01.html,1986,1986,F,0,203cm,104kg,1963-09-27,0,0,0,0,6,1.5,1.7,0.2,18.2,-,50.0,18.2,6.7,0.0
548,Jack Cooley,/players/c/cooleja01.html,2015,2018,FC,3,206cm,117kg,1991-04-04,0,0,0,0,23,2.9,2.4,0.3,44.9,-,57.5,44.9,15.6,0.5
549,Duane Cooper,/players/c/coopedu01.html,1993,1994,G,1,185cm,83kg,1969-06-25,0,0,0,0,88,2.3,0.7,2.0,40.2,21.6,72.0,42.2,7.7,-0.5
550,Joe Cooper,/players/c/coopejo01.html,1982,1985,CF,3,208cm,104kg,1957-09-01,0,0,0,0,24,4.5,4.0,0.8,50.6,-,54.3,50.6,10.5,0.3
551,Michael Cooper,/players/c/coopemi01.html,1979,1990,GF,11,196cm,77kg,1956-04-15,0,0,8,0,873,8.9,3.2,4.2,46.9,34.0,83.3,50.2,12.8,52.5
552,Wayne Cooper,/players/c/coopewa01.html,1979,1992,CF,13,208cm,99kg,1956-11-16,0,0,0,0,984,7.9,6.2,0.9,45.7,14.6,73.6,45.7,13.4,36.9
553,Tom Copa,/players/c/copato01.html,1992,1992,C,0,208cm,124kg,1964-10-30,0,0,0,0,33,1.5,1.1,0.1,55.0,-,30.8,55.0,10.7,0.2
554,Chris Copeland,/players/c/copelch01.html,2013,2016,F,3,206cm,108kg,1984-03-17,0,0,0,0,171,5.8,1.6,0.6,42.7,36.5,75.2,51.6,12.4,2.9
555,Hollis Copeland,/players/c/copelho01.html,1980,1982,F,2,198cm,81kg,1955-12-20,0,0,0,0,93,5.0,1.7,1.0,48.8,0.0,73.9,48.8,10.7,1.3
556,Lanard Copeland,/players/c/copella01.html,1990,1992,G,2,198cm,86kg,1965-07-16,0,0,0,0,33,2.7,0.5,0.4,41.8,14.3,81.3,42.3,8.2,-0.4
557,Tyrone Corbin,/players/c/corbity01.html,1986,2001,GF,15,198cm,95kg,1962-12-31,0,0,0,0,1065,9.2,4.7,1.8,45.6,29.9,79.1,46.8,13.1,56.5
558,Chris Corchiani,/players/c/corchch01.html,1992,1994,G,2,183cm,83kg,1968-03-28,0,0,0,0,112,3.7,1.2,2.2,42.1,26.9,81.6,45.5,11.7,1.6
559,Dave Corzine,/players/c/corzida01.html,1979,1991,C,12,211cm,113kg,1956-04-25,0,0,0,0,891,8.5,5.9,1.7,48.4,18.9,74.7,48.5,13.6,37.3
560,Matt Costello,/players/c/costema01.html,2018,2018,F,0,206cm,111kg,1993-08-05,0,0,0,0,4,1.0,2.3,0.5,50.0,-,-,50.0,9.7,0.1
561,Bryce Cotton,/players/c/cottobr01.html,2015,2016,G,1,185cm,74kg,1992-08-11,0,0,0,0,23,3.8,0.8,0.8,41.8,30.4,83.3,46.2,12.0,0.1
562,James Cotton,/players/c/cottoja02.html,1998,1999,G,1,196cm,99kg,1975-12-14,0,0,0,0,19,2.6,0.8,0.0,35.9,0.0,77.8,35.9,12.3,0.0
563,John Coughran,/players/c/coughjo01.html,1980,1980,F,0,201cm,102kg,1951-09-12,0,0,0,0,24,2.8,0.8,0.5,35.8,22.2,57.1,37.0,6.0,-0.3
564,Joe Courtney,/players/c/courtjo01.html,1993,1997,F,4,203cm,106kg,1969-10-17,0,0,0,0,96,2.8,1.5,0.3,43.3,66.7,63.3,43.7,9.7,0.3
565,Marcus Cousin,/players/c/cousima01.html,2011,2011,C,0,211cm,111kg,1986-12-18,0,0,0,0,4,1.0,0.8,0.0,66.7,-,-,66.7,7.8,0.0
